,name,github_id,labels,category,homepage,description,projectrank,show,trending
0,EKI_idealised_PIG-example,WAVI-ice-sheet-model/EKI_idealised_PIG-example,"['Idealised', 'Antarctica', 'EKP', 'Inversion']",Amundsen Sea,{},,0,False,-4
1,PIG-CES,alextbradley/PIG-CES,"['Real-world', 'Antarctica', 'EKP']",Amundsen Sea,{},,0,False,-10
