,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,watchers_count,pr_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,projectrank,show,projectrank_placing,trending
0,PIG-CES,alextbradley/PIG-CES,"['Real-world', 'Antarctica', 'EKP']",Amundsen Sea,https://github.com/alextbradley/PIG-CES,https://github.com/alextbradley/PIG-CES,MIT,2024-05-13 08:59:39,2026-05-21 16:32:41,2026-04-17 10:50:04,163,8.0,1.0,2,2026-05-21 16:32:41,1.0.1,4,Code and Data for Detection and attribution of anthropogenic climate change in retreat of the Pine Island Glacier by..,10,True,1,4.0
1,EKI_idealised_PIG-example,WAVI-ice-sheet-model/EKI_idealised_PIG-example,"['Idealised', 'Antarctica', 'EKP', 'Inversion']",Amundsen Sea,https://github.com/WAVI-ice-sheet-model/EKI_idealised_PIG-example,https://github.com/WAVI-ice-sheet-model/EKI_idealised_PIG-example,,2025-09-02 13:58:44,2025-09-29 10:18:11,2025-09-29 10:18:11,47,,,1,2025-09-29 10:05:15,1.0.0,1,,4,True,3,
